,Tweet,Time,Score,Location,Compound Score
0,      Houston Astros complete the reverse sweep. https://t.co/kFmyAuUhT7,2019-10-29 23:53:46,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Columbus, OH",0.0
1,"RT  : As an Atlanta Braves fan I've always said ""Go Braves!!""

Tonight, as an AMERICAN, I say....

GO ASTROS!!!! Beat the sh…",2019-10-29 23:53:46,"{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.7482}",,0.7482
2,"RT  : One city, one goal. 🤘 

#TakeItBack https://t.co/8g63O7B59P",2019-10-29 23:53:46,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","[SWAT] Houston, Texas ",0.0
3,RT  : She trippin She kno the Astros bout to play https://t.co/TnjaqVZ1dv,2019-10-29 23:53:45,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}",the gym,0.34
4,RT  : We are ready. The entire city is behind you! https://t.co/lKXYjmUaG2,2019-10-29 23:53:45,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.4199}","Durango, México &  Dallas TX",0.4199
5,  LET’S GOOOOO JV!! #TAKE IT BACK TONIGHT!!⚾️⚾️⚾️⚾️,2019-10-29 23:53:45,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
6,    Ha! I did not see that coming.,2019-10-29 23:53:45,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.4003}","Houston, TX",0.4003
7,"RT  : Ready. 

#TakeItBack https://t.co/G7kfgwXXm2",2019-10-29 23:53:45,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",,0.3612
8,RT  : HCDE staff and students are rooting for the   to #TakeitBack tonight in game 6 of the World Series! Go Astros! ⚾️🧡💙 https…,2019-10-29 23:53:44,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Houston, TX",0.0
9,Who would have thought after I went to watch the Twins play in Minnesota and hated every minute of it that I’d actu… https://t.co/KN733EJntT,2019-10-29 23:53:44,"{'neg': 0.152, 'neu': 0.761, 'pos': 0.087, 'compound': -0.4215}","Halifax, England",-0.4215
10,RT  : To all the people who were shocked/angry that Trump got booed relentlessly at the Nationals vs. Astros World Series game la…,2019-10-29 23:53:44,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
11,RT  : She trippin She kno the Astros bout to play https://t.co/TnjaqVZ1dv,2019-10-29 23:53:44,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}","Houston, TX",0.34
12,"1st time making royal icing sugar cookies! Who better to celebrate then the   💗 

Good luck guys! #TakeItBack https://t.co/NxbvlBwsYU",2019-10-29 23:53:44,"{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.9298}","Texas, USA",0.9298
13,RT  : if the astros win im giving everybody who rt this $20,2019-10-29 23:53:43,"{'neg': 0.0, 'neu': 0.617, 'pos': 0.383, 'compound': 0.7351}",Somewhere w Alyssa ❤️,0.7351
14,Watch MLB World Series 2019: Houston Astros vs Washington Nationals Game 6 Live streaming free online at Minute Mai… https://t.co/itBECor2L0,2019-10-29 23:53:43,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5106}",USA,0.5106
15,  I would love for the Astros to score 10 runs in the bottom of the first inning. Then score in each inning… https://t.co/5x77HYuXU8,2019-10-29 23:53:43,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.6369}",,0.6369
16,"RT  : Everything went smooth with the surgery, thank you for all of the kind words. 

If I tweet anything crazy during the Astros gam…",2019-10-29 23:53:43,"{'neg': 0.085, 'neu': 0.707, 'pos': 0.208, 'compound': 0.5423}",,0.5423
17,"All 4 major sports going on at once: NFL, NHL, NBA, and MLB could be all over tonight if Verlander has anything to… https://t.co/oX7V9g0hth",2019-10-29 23:53:43,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Canada-780,0.0
18,"RT  : If the astros win tonight, the astros win tonight...",2019-10-29 23:53:43,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.8225}",,0.8225
19,RT  : She trippin She kno the Astros bout to play https://t.co/TnjaqVZ1dv,2019-10-29 23:53:43,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}","Houston, TX",0.34
20,"RT  : Everything went smooth with the surgery, thank you for all of the kind words. 

If I tweet anything crazy during the Astros gam…",2019-10-29 23:53:42,"{'neg': 0.085, 'neu': 0.707, 'pos': 0.208, 'compound': 0.5423}",大阪 寝屋川市,0.5423
