,Tweet,Time,Score,Location,Compound Score
0,RT  : Good luck tonight  ‼️ https://t.co/wFRgPffyGw,2019-10-29 23:54:13,"{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.7096}",,0.7096
1,"RT  : Hey, Nationals. I love you. You got this.",2019-10-29 23:54:13,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}",VCU/RVA,0.6369
2,"RT  : As a EU national, I find this proposal to give me the right to vote in the general election totally ridiculous.

If EU natio…",2019-10-29 23:54:12,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.4201}",,-0.4201
3,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:54:12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.0
4,    We all need another day of baseball before the long dark.,2019-10-29 23:54:11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","NS, Canada",0.0
5,"RT  : Good Luck   in Game 6 of the #WorldSeries  Your #DCFamily is cheering you on, all the way!

(The graphic reads…",2019-10-29 23:54:11,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.8588}",WORKIN ON CLASSICS!!! ,0.8588
6,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:54:10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Pacific NW,0.0
7,"    I was a Nationals fan for years!  Was so excited, then Sunday's game started and now… https://t.co/4tOGOcytpH",2019-10-29 23:54:09,"{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.6916}",Florida,0.6916
8,"RT  : 🔥Outstanding! President Trump applauded at the ArmyNavy game by our Armed Forces!

🔥I was disgusted Trump was booed by t…",2019-10-29 23:54:08,"{'neg': 0.156, 'neu': 0.746, 'pos': 0.098, 'compound': -0.3578}","California, USA",-0.3578
9,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:54:08,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Washington, DC",0.0
10,"RT  : BREAKING: When Obama won in 2012, a Saudi tycoon sent hundreds of thousands of dollars to the U.S. to help pay for the in…",2019-10-29 23:54:07,"{'neg': 0.049, 'neu': 0.729, 'pos': 0.222, 'compound': 0.7184}",Depends on when you ask me…,0.7184
11,"According to my Facebook memories, Verlander started Game 4 against the Giants seven years ago today. #WorldSeries #Astros #Nationals",2019-10-29 23:54:05,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Around the horn,0.0
12,These Nationals find a way with their backs against the wall! Gonna see a Game 7 tmrw,2019-10-29 23:54:05,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.126}",,-0.126
13,Prediction: Astros 5 Nationals 3,2019-10-29 23:54:04,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Port Huron, MI",0.0
14,"The Nationals came out swinging to start the #WorldSeries  , but the Astros responded with a flurry of punches of t… https://t.co/m07wWfyZGf",2019-10-29 23:54:03,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Los Angeles, CA",0.0
15,Alex Rodriguez’s thinks he still plays for the Yankees picked the nationals in every game so far,2019-10-29 23:54:03,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.25}",,0.25
16,"RT  : Go 1-0 today. 

#Strasmas // #STAYINTHEFIGHT https://t.co/UDSILSLVL0",2019-10-29 23:54:02,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Fredericksburg, VA",0.0
17,"RT  : As a EU national, I find this proposal to give me the right to vote in the general election totally ridiculous.

If EU natio…",2019-10-29 23:54:01,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.4201}","Scotland, United Kingdom",-0.4201
18,"RT  : BREAKING: When Obama won in 2012, a Saudi tycoon sent hundreds of thousands of dollars to the U.S. to help pay for the in…",2019-10-29 23:54:01,"{'neg': 0.049, 'neu': 0.729, 'pos': 0.222, 'compound': 0.7184}",Indiana,0.7184
19,  left his in the luxury box at Nationals Park. https://t.co/vcyady626V,2019-10-29 23:54:01,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","Arizona, USA",0.0
20,  Let’s WIN!!!!! Get those bats going.,2019-10-29 23:54:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0
21,RT  : What’s truly telling is that Trump can show up to Nationals Park in a suit and tie after al Baghdadi’s death and get boo…,2019-10-29 23:54:00,"{'neg': 0.135, 'neu': 0.764, 'pos': 0.101, 'compound': -0.25}","Tennessee, USA",-0.25
22,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:53:58,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","New York, USA",0.0
23,PROVE THEM WRONG LETS GOOOOOOOOOOOO #STAYINTHEFIGHT https://t.co/j1NFhgUeQM,2019-10-29 23:53:58,"{'neg': 0.39, 'neu': 0.61, 'pos': 0.0, 'compound': -0.5904}",540,-0.5904
24,"RT  : Good Luck   in Game 6 of the #WorldSeries  Your #DCFamily is cheering you on, all the way!

(The graphic reads…",2019-10-29 23:53:58,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.8588}","PG County, Murrland of course",0.8588
25,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:53:57,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",New Jersey,0.0
26,Can't wait to watch the Nationals lose tonight,2019-10-29 23:53:57,"{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4019}",the moon ,-0.4019
27,"RT  : Tonight?

Tonight's what #STAYINTHEFIGHT is all about.

#Strasmas // #WorldSeries https://t.co/1HdhxtVDuy",2019-10-29 23:53:56,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",United States,0.0
28,    Good luck not being a laughing stock   with Bruce Allen and Dan Snyder running the team,2019-10-29 23:53:55,"{'neg': 0.128, 'neu': 0.585, 'pos': 0.287, 'compound': 0.506}",NC,0.506
29,"RT  : As a EU national, I find this proposal to give me the right to vote in the general election totally ridiculous.

If EU natio…",2019-10-29 23:53:55,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.4201}",,-0.4201
30,"RT  : Good Luck   in Game 6 of the #WorldSeries  Your #DCFamily is cheering you on, all the way!

(The graphic reads…",2019-10-29 23:53:53,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.8588}","Washington, DC",0.8588
31,  Was it lobbyist day at Nationals Stadium this week? Damn I missed it!,2019-10-29 23:53:53,"{'neg': 0.342, 'neu': 0.658, 'pos': 0.0, 'compound': -0.636}","Endicott, NY",-0.636
32,RT  : I believe the Lock Him Up chant at the Nationals game was affirmatively good; not just not bad.  Because it demonstrates T…,2019-10-29 23:53:52,"{'neg': 0.094, 'neu': 0.791, 'pos': 0.115, 'compound': 0.1358}","Bellevue, WA",0.1358
33,"MLB:

⚾️ Nationals ML +150 

Only one pick tonight but we gotta huge weekend on the horizon with TNF, NCAAF, &amp; NBA so stay tuned!",2019-10-29 23:53:51,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.501}",,0.501
34,"RT  : ""You don’t boo the president. You may disagree with him, you may think that he’s not what you wanted, but you don’t boo him…",2019-10-29 23:53:51,"{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.2023}",,-0.2023
